hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoU,CoA,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
15379,"Pen Tynreithin","31C",2207,"2","211","692","SN651729","SN 65107 72995","SN645727","172","39","no feature: pasture","","","2017-05-29","","135","213","265104","272990","52.338372","-3.981403","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15380,"Gaer Maesmynach","31C",2221,"2","210","689","SN519509","SN 51982 50908","SN521510","173","37","no feature: ground at NW end of hill fort","ground at SE end of hill fort is c 30cm lower","Seco 2x Hand Level","2012-01-20","","146","199","251979","250903","52.136554","-4.164231","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15381,"Penbwlch","31C",2221,"2","210","689","SN594571","","SN595564","173","37","","","","2012-01-20","","146","199","259400","257100","52.194171","-4.058446","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15382,"Cefn","31C",2214,"2","209","686","SN619611","SN 61916 61115","SN625621","172","37","no feature: ground on N side of hedge","flat summit area","","2012-01-20","","146","199","261913","261110","52.230838","-4.023339","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15383,"Penygelli","31B",2183,"2","209","686","SO180909","SO 18011 90946","SO169909","173","36","no feature: pasture","","","2012-01-20","","136","214E 216","318009","290941","52.510189","-3.209530","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15384,"Pen Drefach","31C",2211,"2","209","686","SN673327","SN 67317 32751","SN674329","177","32","no feature: hedgebank","","","2012-01-20","","146","OL12W 186 187S","267314","232746","51.9773","-3.933249","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15385,"Pen Llwyn-celyn","31C",2211,"2","208","682","SN734366","SN 73470 36637","SN739364","173","35","no feature: pasture","flat summit area","","2015-12-07","","146 160","187S","273467","236632","52.013656","-3.84515","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15386,"Goron-ddu","31B",2202,"2","207","679","SO185965","SO 18528 96508","SO194956","118","89","no feature: pasture","","","2012-01-20","","136","216","318526","296504","52.560258","-3.20328","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15387,"Banc","31C",2222,"2","207","679","SN405273","","SN435274","144","63","","","","2012-01-20","","146","185","240500","227300","51.921323","-4.320810","W","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15388,"Pen y Ddinas","31C",2203,"2","207","679","SN628357","","SN623355","155","52","","","","2015-03-21","","146","186","262800","235700","52.002745","-4.000116","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15389,"Pen Llanfechan","32A",2203,"2","207","679","SN974499","SN 97418 49959","SN970504","171","36","ground by hedge on S side","","","2020-09-15","","147","188","297415","249954","52.138338","-3.500346","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15390,"Penciog","31C",2207,"2","206","676","SN598714","SN 59803 71452","SN622718","170","36","no feature","level pasture to S of fence-line","","2012-01-20","","135","213","259800","271447","52.323178","-4.058558","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15391,"Pantsaeson Hill","31C",2213,"2","205","673","SN141455","SN 14174 45541","SN150411","127","78","trig point","","","2012-01-20","","145","OL35E 198W","214171","245536","52.076930","-4.713141","W","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15392,"Brown Hill","31C",2203,"2","204","669","SN443393","SN 44378 39336","SN454393","143","61","no feature: pasture near gate","flat summit area","","2012-01-20","","146","185","244375","239331","52.030505","-4.269964","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15393,"Cefn","31A",2170,"2","206","676","SN991915","SN 99168 91527","SN985916","167","39","no feature: ground in hedgebank","hedgebank crosses natural summit","","2012-12-05","","136","214W 215E","299166","291523","52.512248","-3.487262","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15394,"Llantydwell Hill","31C",2224,"2","203.8","669","SN171120","SN 17189 12044","SN 1569 1142","173.5","30.4","no feature: pasture","","","2018-10-19","","158","OL36E 177","217186","212039","51.777088","-4.651396","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15395,"Crosshands Hill","31C",2213,"2","202","663","SN194227","","SN211254","143","59","","","","2012-01-20","","145 158","OL35E OL36E 177","219400","222700","51.873563","-4.624902","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15396,"Pen-y-rhiw","31A",2166,"2","202","663","SN770983","SN 77008 98320","SN778982","162","40","no feature: pasture","","","2012-01-20","","135","OL23W 215W","277005","298316","52.568734","-3.816159","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15397,"Penrhos","31C",2208,"2","201","659","SN100261","","SN094267","129","72","","","","2012-01-20","","145 158","OL35E","210000","226100","51.900974","-4.763158","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15398,"Cefn-cyfronydd","30E",2136,"1","199.2","654","SJ144083","SJ 14457 08304","SJ150085","153","46","no feature: pasture","summit 250m NE (pasture) at SJ 14647 08455 is of similar height; earthworks at SJ 14382 08360 are 1.1m lower","Seco 2x Hand Level","2022-02-06","","125","215E 239","314454","308300","52.665652","-3.266374","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15399,"Penrhiwsych","31C",2203,"2","201","659","SN523426","","SN527423","171","30","","","","2012-01-20","","146","186","252300","242600","52.062042","-4.155946","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15400,"Mynydd Cynffyrch","31A",2166,"1","198","650","SN715982","SN 71581 98216","SN718982","145","53","outcrop in small clearing","","","2012-01-20","","135","OL23W","271578","298212","52.566544","-3.896146","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15401,"Pen Llanwinio","31C",2213,"1","198","650","SN265260","SN 26583 26079","SN256268","165","33","no feature","","","2016-07-26","","145 158","185","226580","226074","51.906147","-4.522409","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15402,"Crugiau Cemmaes","31C",2213,"1","197","646","SN125416","SN 12540 41610","SN144418","137","60","trig point","ground c 20m E and ground with tumulus to SSW may be as high","","2012-01-20","","145","OL35E","212537","241605","52.041077","-4.734798","W","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15403,"Pant-y-carne settlement","31C",2205,"1","196.9","646","SN628770","SN 62861 77090","SN638768","137","60","no feature: pasture","ground 40m NNW on ramparts at SN 62880 77123 is higher but unnatural. W summit at SN 62264 77090 is 0.4m lower. Ground 28m SE of trig is 2.5m lower","","2020-10-24","","135","213","262858","277085","52.374607","-4.016022","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15404,"Pen Meillionen","31C",2207,"1","197.4","648","SN617743","SN 61770 74330","SN614727","149","48","ground by hedge","S summit at SN 61818 73888 is 1.7m lower","","2020-10-24","","135","213","261767","274325","52.349535","-4.0309","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15405,"Pen y Gaer","31C",2203,"1","194","636","SN523434","","SN525432","158","36","","","","2012-12-05","","146","186 199","252300","243400","52.069230","-4.156292","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15406,"Garn Gilfach","31C",2208,"1","196.3","644","SM909390","SM 90971 39101","SM 9042 3925","156.4","39.9","NE corner of outcrop","Garn Folch outcrop 180m E at SM 91144 39094 is of similar height. Intermediate summit at SM 91102 39122 is lowest","","2023-07-11","","157","OL35W","190968","239096","52.010837","-5.047308","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15407,"Cefnbenydd","31C",2211,"1","193","633","SN719326","SN 71917 32651","SN721331","151","42","no feature: pasture on W side of road","ground 75m SSW at SN 71886 32584 may be as high","","2014-09-15","","146 160","OL12W 187S","271914","232646","51.977481","-3.866276","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15408,"Penhill","31C",2203,"1","193","633","SN367231","SN 36729 23143","SN374236","133","60","no feature: pasture","flat summit area","","2018-02-04","","145 159","177 185","236726","223138","51.88284","-4.373665","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15409,"Pen Crugcwn","31C",2219,"1","192.8","633","SN612257","SN 61263 25758","SN 6222 2619","159.5","33.3","no feature: pasture","ground 190m ENE under trees at SN 61437 25844 might be as high; ground 390m NNE at SN 61435 26110 is 1.4m lower","","2023-07-11","","146","186","261260","225753","51.912986","-4.018512","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15410,"Esgair-hir","31C",2207,"1","194.6","638","SN568757","SN 56824 75750","SN579730","126","69","ground on W side of track","summit 235m NNW at SN 56701 75950 is 2.6m lower","","2020-10-24","","135","213","256821","275745","52.361023","-4.10407","W","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15411,"Bryn-biettyn","31C",2203,"1","193","633","SN437295","SN 43747 29545","SN441301","137","56","no feature: pasture","","","2020-10-24","","146","185","243744","229540","51.942367","-4.274691","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15412,"Pen Aberbechan","31A",2174,"1","192","630","SO128950","SO 12821 95090","SO131955","149","43","no feature: grass","","","2012-01-20","","136","215E","312819","295086","52.546628","-3.287072","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15413,"Penlan","31C",2213,"1","192","630","SN102433","","SN110427","152","40","","","","2012-01-20","","145","OL35E","210200","243300","52.055505","-4.769769","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15414,"Y Foel","31A",2166,"1","192","630","SN668929","SN 66851 92927","SN675923","153","39","outcrop on E side of wall near comms mast","","","2012-01-20","","135","OL23W","266848","292923","52.517886","-3.963766","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15415,"Penfedw Fawr","31C",2211,"1","191","627","SN759411","SN 75988 41164","SN757415","129","62","ground by hedge","","","2012-01-20","","146 147 160","187S","275985","241159","52.054906","-3.810121","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15416,"Carn Gelli","31C",2208,"1","191","627","SM923379","SM 92314 37949","SM919387","128","63","rock tor","","","2014-12-15","","157","OL35W","192311","237944","52.000999","-5.027069","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15417,"Brynreidon","31C",2203,"1","188","617","SN508302","SN 50870 30273","SN507304","136","52","no feature: pasture just SW of hedgebank","","","2012-01-20","","146","186","250867","230268","51.950863","-4.17146","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15418,"Pen Pantyrhedyn","31C",2203,"Un","188.1","617","SN283229","SN 28359 22986","SN 2848 2341","158.1","29.99","no feature: arable field","ground 20m SE at SN 28374 22972 is of equal height; ground 490m WNW at SN 27913 23202 is 2.0m lower","","2023-07-11","Tump deleted July 2020","145 158","177","228356","222981","51.878915","-4.495077","W","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15419,"Park Wood Hill","31C",2203,"1","186","610","SO025516","","SO022519","147","39","","","","2012-01-20","","147","188 200E","302500","251600","52.154051","-3.426552","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15420,"Scotland Hill","31C",2221,"1","185","607","SN248453","SN 24880 45383","SN270486","137","48","no feature","trig point has been removed","","2015-03-21","","145","198W","224877","245378","52.079002","-4.557003","W","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15421,"Pen-y-gyrn","31A",2173,"1","185","607","SH834045","SH 83469 04531","SH838047","154","31","mossy outcrop","ground 40m W at SH 83421 04539 may be as high","","2012-12-05","","135 136","215W","283466","304527","52.625969","-3.723066","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15422,"Pen Llanwnnen","31C",2221,"1","184","604","SN526471","SN 52615 47183","SN516475","151","33","no feature","","","2014-10-30","alternative summit at SN514471","146","199","252612","247178","52.103257","-4.153375","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15423,"Brynhyfryd","31C",2224,"Un","184.3","605","SN202110","SN 20229 11015","SN 2048 1153","154.9","29.4","not recorded","trig point is 30m E in hedge at SN 20257 11013","","2018-10-01","Tump deleted September 2018, LIDAR data","158","177","220226","211010","51.768831","-4.606846","W","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15424,"Fron-dolfor","31A",2171,"1","184","604","SO135931","SO 13578 93129","SO129931","154","30","no feature: pasture","","","2015-06-24","","136","215E","313576","293125","52.529124","-3.275401","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15425,"Pen Lan","31C",2221,"1","183","600","SN252471","","SN245459","147","36","","","","2012-01-20","","145","198W","225200","247100","52.094571","-4.553176","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15426,"Pen Tancwarel","31C",2207,"1","182","597","SN583748","SN 58352 74807","SN577749","143","39","gateway on S side of fence junction","","","2017-05-29","","135","213","258349","274802","52.352948","-4.081249","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15427,"Pen Llystyn","31C",2203,"1","181","594","SN527311","SN 52739 31153","SN526314","146","35","no feature: ground near forest edge","","","2012-12-05","","146","186","252736","231148","51.959268","-4.144662","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15428,"Allt y Fawnen","31C",2222,"1","181","594","SN435267","SN 43594 26716","SN439264","149","32","no feature: level pasture N of hedge","ground 20m WNW at SN 43614 26720 might be as high","","2020-03-31","","146","185","243591","226711","51.916908","-4.275629","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15429,"Allt y Parc","31C",2211,"1","184.5","605","SN681300","SN 68181 30064","SN677304","122","62","outcrop","","obvious summit","2017-12-13","","146","OL12W","268178","230059","51.95336","-3.919645","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15430,"Dolforwyn Castle","31A",2174,"2","231","758","SO151950","SO 15194 95019","SO149952","189","42","rock","","","2012-12-05","","136","215E","315192","295015","52.546365","-3.252069","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15431,"Moelfre","31C",2219,"1","179","587","SN629341","SN 62964 34138","SN624339","131","48","no feature: pasture","flat summit area","","2012-01-20","","146","186","262961","234133","51.988705","-3.997141","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15432,"Penylan","31C",2219,"1","179","587","SN553259","SN 55348 25921","SN548262","136","43","no feature: pasture","flat summit area","","2012-01-20","","146","186","255345","225916","51.912944","-4.104517","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15433,"Pen Carreg-wen","31C",2213,"1","179","587","SN224411","","SN213391","142","37","","","","2015-03-15","","145","185 198W","222400","241100","52.039790","-4.590884","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15434,"Pen-y-banc","31C",2219,"1","179","587","SN571265","SN 57108 26566","SN576274","147","32","no feature: ground on SE side of road","","","2018-02-04","","146","186","257105","226561","51.919194","-4.079214","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15435,"Pen-rhiw-olau","31C",2203,"1","178","584","SN274401","SN 27426 40154","SN280400","148","30","trig point","","","2012-12-05","","145","185 198W","227423","240149","52.032834","-4.517245","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15436,"Pen Pant-y-gogledd","31C",2203,"1","177","581","SN490413","SN 49038 41380","SN493405","136","41","no feature: pasture","","","2015-03-21","","146","186","249035","241375","52.050157","-4.202992","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15437,"Foelcwan","31C",2203,"1","174","571","SN393222","SN 39345 22302","SN391228","118","56","no feature: pasture","","","2012-01-20","","145 159","177","239342","222297","51.876045","-4.335299","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15438,"Felinwynt","31C",2221,"O","174","571","SN226503","SN 22617 50312","SN 2277 4989","167.5","6.5","no feature: pasture 8m NE of hedge","","","2023-07-14","on Clems list, Tump relocated to 19854 Tremain Hill 900m S in June 2023","145","198W","222614","250307","52.122551","-4.592558","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15439,"Cefn-wig","31C",2214,"1","174","571","SN476614","","SN490613","124","50","","","","2012-01-20","","146","198E","247600","261400","52.229664","-4.232886","W","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
